Sinal,Log,Diferenciacao
-34,"1,255272505",0
-34,"1,255272505",0
-34,"1,255272505",0
-34,"1,255272505",0
-34,"1,255272505",0
-34,"1,255272505",0
-34,"1,255272505",0
-34,"1,255272505",0
-34,"1,255272505",0
-34,"1,255272505",0
-34,"1,255272505",0
-34,"1,255272505",0
-34,"1,255272505",0
-34,"1,255272505",0
-34,"1,255272505",0
-34,"1,255272505",0
-34,"1,255272505",0
-34,"1,255272505",0
-34,"1,255272505",0
-34,"1,255272505",0
-34,"1,255272505",0
-34,"1,255272505",0
-34,"1,255272505",0
-34,"1,255272505",0
-34,"1,255272505",0
-34,"1,255272505",0
-34,"1,255272505",0
-34,"1,255272505",0
-34,"1,255272505",0
-34,"1,255272505",0
-34,"1,255272505",0
-34,"1,255272505",0
-34,"1,255272505",0
-34,"1,255272505",0
-33,"1,278753601","0,02348109585"
-33,"1,278753601",0
-33,"1,278753601",0
-33,"1,278753601",0
-33,"1,278753601",0
-33,"1,278753601",0
-33,"1,278753601",0
-33,"1,278753601",0
-33,"1,278753601",0
-33,"1,278753601",0
-33,"1,278753601",0
-33,"1,278753601",0
-33,"1,278753601",0
-33,"1,278753601",0
-33,"1,278753601",0
-33,"1,278753601",0
-33,"1,278753601",0
-33,"1,278753601",0
-33,"1,278753601",0
-33,"1,278753601",0
-33,"1,278753601",0
-33,"1,278753601",0
-33,"1,278753601",0
-33,"1,278753601",0
-33,"1,278753601",0
-33,"1,278753601",0
-33,"1,278753601",0
-33,"1,278753601",0
-33,"1,278753601",0
-33,"1,278753601",0
-33,"1,278753601",0
-33,"1,278753601",0
-32,"1,301029996","0,02227639471"
-32,"1,301029996",0
-32,"1,301029996",0
-32,"1,301029996",0
-32,"1,301029996",0
-32,"1,301029996",0
-32,"1,301029996",0
-32,"1,301029996",0
-32,"1,301029996",0
-32,"1,301029996",0
-32,"1,301029996",0
-32,"1,301029996",0
-32,"1,301029996",0
-32,"1,301029996",0
-32,"1,301029996",0
-32,"1,301029996",0
-32,"1,301029996",0
-32,"1,301029996",0
-32,"1,301029996",0
-32,"1,301029996",0
-32,"1,301029996",0
-31,"1,322219295","0,02118929907"
-31,"1,322219295",0
-32,"1,301029996","-0,02118929907"
-32,"1,301029996",0
-32,"1,301029996",0
-31,"1,322219295","0,02118929907"
-31,"1,322219295",0
